job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency,posted_date,deadline,job_description
"Middle/Senior Frontend Engineer ( ReactJS , Fullstack )","Frontend Developer, IT - Phần mềm",4,Hồ Chí Minh,PORTERS ASIA VIETNAM COMPANY LIMITED,onsite,1000,3000,USD,3/11/2026,30/04/2026,"Job brief
We are looking for a Middle/ Senior Frontend Developer to manage the software development life cycle, from planning and prioritizing to testing and release.
Middle/ Senior Developer responsibilities include gathering system and user requirements, building modules and testing features before release. If you have hands-on experience developing software with agile methodologies and are ready to lead our junior developers, we’d like to meet you.
Ultimately, you will deploy and maintain functional, secure and high-quality applications.
Your responsibilities
Identify and analyze user requirements.
Implement our applications, services and products.
Write well-designed, efficient code.
Review, test and debug team members’ code.
Release and maintain our products/ services in production environments.
Ensure our applications are secure and up to date."
Fullstack Software Engineer,"Fullstack Developer, IT - Phần mềm",5,Hà Nội,CÔNG TY CỔ PHẦN CMC OPENAI,onsite,45000000,45000000,VND,3/2/2026,2/3/2027,"Phân tích yêu cầu nghiệp vụ, phối hợp chặt chẽ với Product Owner, Business Analyst, QA và DevOps để xây dựng và phát triển các tính năng của sản phẩm
Lập trình, phát triển và tối ưu các thành phần cốt lõi của hệ thống, đảm bảo hiệu năng, tính sẵn sàng và khả năng mở rộng
Tham gia thiết kế kiến trúc tổng thể (system design), đề xuất các giải pháp kỹ thuật phù hợp với định hướng sản phẩm
Xây dựng và duy trì các API, dịch vụ backend và tích hợp với các hệ thống bên thứ ba
Tối ưu hiệu năng, bộ nhớ, độ trễ và khả năng xử lý đồng thời của hệ thống
Thiết kế cơ sở dữ liệu (SQL / NoSQL), tối ưu truy vấn và đảm bảo tính toàn vẹn dữ liệu
Xây dựng và duy trì quy trình CI/CD, đảm bảo chất lượng phần mềm thông qua unit test, integration test và code review
Hướng dẫn và cố vấn về mặt kỹ thuật cho các lập trình viên cấp junior và middle
Tham gia xử lý sự cố, debug và khắc phục lỗi trên môi trường production."
Thực Tập Sinh Công Nghệ Thông Tin Fulltime - Có Lương,"Software Engineer, IT - Phần mềm, IT - Phần cứng và máy tính, An ninh mạng",,Hồ Chí Minh,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,onsite,5000000,10000000,VND,3/9/2026,30/06/2026,"Tiếp nhận và liên hệ khách hàng đưa ra giải pháp phần mềm công nghệ phù hợp cho từng doanh nghiệp.
Tư vấn triển khai phần mềm Website cho khách hàng: hỗ trợ phân tích về bố cục, màu sắc, chức năng của Website và lấy yêu cầu khách hàng. ( có quản lý hỗ trợ).
Lên ý tưởng, demo trang Website
Đặc tả trang Website cho phòng Kỹ Thuật
Tương tác hỗ trợ phòng Kỹ Thuật
Hỗ trợ bàn giao, test web và hướng dẫn khách hàng sử dụng
Các công việc khác theo sắp xếp của công ty"
Nhân Viên Lập Trình Full Stack Developer,"Fullstack Developer, IT - Phần mềm",1,Hồ Chí Minh,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,onsite,,,,3/10/2026,10/4/2026,"- Tham gia phát triển và bảo trì các hệ thống của công ty.
- Xây dựng backend với PHP (CodeIgniter, Laravel) và Node.js (NestJS), phát triển frontend với Next.js, đảm bảo hiệu năng cao và khả năng mở rộng.
- Thiết kế và tối ưu hóa database (MySQL, PostgreSQL, MongoDB,...), đảm bảo truy vấn hiệu quả, dữ liệu nhất quán và bảo mật.
- Xây dựng và tích hợp RESTful API / WebSocket phục vụ các luồng nghiệp vụ thời gian thực như chat, call routing, ticket management.
- Sử dụng các công cụ AI hỗ trợ (Antigravity, ChatGPT, Claude,...) để tăng tốc phân tích yêu cầu và viết code chất lượng cao.
- Phối hợp với đội Frontend, AI/ML, QA, DevOps trong toàn bộ vòng đời phát triển phần mềm.
- Review code, viết unit/integration test, đảm bảo chất lượng và chuẩn hóa quy trình phát triển."
Fullstack Developer Middle (Web App) – Japanese N3+| Up To 27M | Remote 5 Days/Month,"Fullstack Developer, IT - Phần mềm",2,Hà Nội,CÔNG TY CỔ PHẦN DS SOLUTION VIỆT NAM,onsite,27000000,27000000,VND,3/9/2026,5/5/2026,"Phát triển ứng dụng web theo yêu cầu dự án.
Phân tích yêu cầu và đề xuất giải pháp kỹ thuật phù hợp.
Thiết kế và phát triển API, database schema cho các tính năng mới.
Tham gia review code và đảm bảo chất lượng sản phẩm.
Bảo trì, tối ưu và xử lý các vấn đề phát sinh của hệ thống.
Hỗ trợ và phối hợp cùng các thành viên trong team để hoàn thành mục tiêu chung.
Cập nhật và áp dụng các công nghệ mới vào dự án khi phù hợp."
Mobile Developer,"Mobile Developer, IT - Phần mềm",1,Hà Nội,Công ty Cổ Phần Đầu tư Công nghệ Trip,onsite,10000000,30000000,VND,3/9/2026,30/04/2026,"Phát triển và maintain các ứng dụng điện thoại trên nền tảng
IOS hoặc Android
Phân tích, đánh giá, phản hồi các yêu cầu (requirements) về sản phẩm từ các thành viên bộ phận phát triển (BA; UI/UX Designer; Tester)
Xác định các vấn đề về kỹ thuật, nghiên cứu và đưa ra để án xử lý, và fix bugs liên quan
Nghiên cứu và đóng góp ý tưởng nhằm cải thiện hiệu và cải tiến sản phẩm thân thiện với người dùng
Nghiên cứu công nghệ mới và phù hợp với chiến lược sản phẩm."
Nhân Viên Software Developer – Froned (Dev) - Làm Việc Tại Hà Nội,Frontend Developer,3,Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,onsite,,,,3/9/2026,9/4/2026,"- Xây dựng và duy trì các tính năng hướng tới người dùng bằng VueJS (Vue 3).
- Tối ưu hóa HTML, CSS và JavaScript để cải thiện hiệu suất web
- Làm việc chặt chẽ với các nhà thiết kế UI/UX để tạo ra các thành phần giao diện có thể tái sử dụng và mở rộng quy mô.
- Triển khai UI và cải thiện UX của hệ thống
- Làm việc chặt chẽ với nhóm nghiệp vụ để chuyển đổi các yêu cầu thành các giải pháp kỹ thuật.
- Viết code sạch, hiệu quả và dễ bảo trì theo các chuẩn ISO đưa ra.
- Cập nhật những xu hướng mới nhất về Laravel, VueJS và các công nghệ liên quan"
SAP Technical Lead (SAP ABAP) Tại Hà Nội,"Software Engineer, IT - Phần mềm",5,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,onsite,3000,3000,USD,3/12/2026,12/4/2026,"Technical Leadership & Delivery
₋ Lead end-to-end technical delivery of SAP projects, ensuring solution architecture, quality, and timelines.
₋ Provide technical and architectural direction for SAP/ABAP solutions in line with best practices.
₋ Resolve complex and high-risk technical issues to ensure system stability, performance, and scalability.
Technical Advisory
₋ Act as a technical solution advisor across projects.
₋ Guide engineering teams on solution design, implementation, and technical decision-making.
People & Resource Management
₋ Manage and develop the technical consulting team to support project delivery.
₋ Lead recruitment, training, and performance development of team members.
₋ Allocate and manage technical resources across projects.
₋ Define and enforce technical checklists and naming conventions.
Standards & Continuous Improvement
₋ Define and enforce technical standards, coding guidelines, and quality controls.
₋ Drive continuous improvement of technical processes, tools, and delivery practices"
Fullstack Developer Middle (Web App) – English | Up To 27M | Remote 5 Days/Month,"Fullstack Developer, IT - Phần mềm",2,Hà Nội,CÔNG TY CỔ PHẦN DS SOLUTION VIỆT NAM,onsite,27000000,27000000,VND,3/9/2026,5/5/2026,"Phát triển ứng dụng web theo yêu cầu dự án.
Phân tích yêu cầu và đề xuất giải pháp kỹ thuật phù hợp.
Thiết kế và phát triển API, database schema cho các tính năng mới.
Tham gia review code và đảm bảo chất lượng sản phẩm.
Bảo trì, tối ưu và xử lý các vấn đề phát sinh của hệ thống.
Hỗ trợ và phối hợp cùng các thành viên trong team để hoàn thành mục tiêu chung.
Cập nhật và áp dụng các công nghệ mới vào dự án khi phù hợp."
Middle/ Senior Backend Engineer ( Fullstack ),"Backend Developer, IT - Phần mềm",4,Hồ Chí Minh,PORTERS ASIA VIETNAM COMPANY LIMITED,onsite,1000,3000,USD,3/11/2026,30/04/2026,"Job brief
We are looking for a Middle/ Senior Backend Developer to manage the software development life cycle, from planning and prioritizing to testing and release.
Middle/ Senior Developer responsibilities include gathering system and user requirements, building modules and testing features before release. If you have hands-on experience developing software with agile methodologies and are ready to lead our junior developers, we’d like to meet you.
Ultimately, you will deploy and maintain functional, secure and high-quality applications.
Your responsibilities
Identify and analyze user requirements.
Implement our applications, services and products.
Write well-designed, efficient code.
Review, test and debug team members’ code.
Release and maintain our products/ services in production environments.
Ensure our applications are secure and up to date."
Frontend ReactJS Developer,"Frontend Developer, IT - Phần mềm",4,Hà Nội,Công Ty TNHH LG CNS VIỆT NAM,onsite,,,,3/11/2026,30/04/2026,"Participate in software development projects focused on innovative solution design.
Develop and implement responsive, high-quality frontend interfaces using ReactJS and modern web technologies.
Collaborate on requirements analysis and contribute to UI/UX design discussions to ensure optimal user experience.
Ensure the quality, performance, and maintainability of your code through best practices and testing."
Java Engineer,"Software Engineer, IT - Phần mềm",1,Hà Nội,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,onsite,800,3500,USD,3/9/2026,8/4/2026,"Tiếp nhận yêu cầu bài toán từ khách hàng, viết tài liệu phân tích yêu cầu, đặc tả yêu cầu, thiết kế chi tiết, thiết kế CSDL
Lập trình các chức năng được giao theo tài liệu giải pháp chi tiết.
Thực hiện các nhiệm vụ sửa lỗi được phát hiện trong quá trình phát triển và triển khai.
Viết và thực hiện unit test.
Thực hiện upcode các yêu cầu nâng cấp của dự án.
Thiết kế được các module thành phần, các chức năng chi tiết theo kiến trúc đã có sẵn.
Tích hợp mã nguồn (merge code), tích hợp hệ thống.
Viết tài liệu Hướng dẫn cài đặt, vận hành, khai thác.
Cài đặt, triển khai hệ thống
Tối ưu hệ thống"
Java Developer ( Junior),"Backend Developer, IT - Phần mềm",1,Hà Nội,Công ty TNHH Đầu tư và Phát triển Công nghệ Đức Việt,onsite,24000000,24000000,VND,3/10/2026,9/4/2026,"- Hỗ trợ thiết kế và phát triển ứng dụng Java
- Hợp tác với nhóm để đạt được mục tiêu dự án
- Học hỏi và áp dụng các phương pháp lập trình tốt nhất
- Khắc phục sự cố và gỡ lỗi code
- Tham gia đánh giá code và học hỏi từ phản hồi user
- Hỗ trợ các lập trình viên cấp cao trong các tasks
- Viết tài liệu về mã nguồn và quy trình"
Kỹ Sư Giải Pháp Phần Mềm / Software Developer,"Fullstack Developer, IT - Phần mềm, IT - Phần cứng và máy tính, Thương mại điện tử",2,Hà Nội,CÔNG TY CỔ PHẦN DỊCH  VỤ CÔNG NGHỆ TIN HỌC HPT,onsite,15000000,30000000,VND,3/9/2026,9/4/2026,"Thu thập, phân tích và làm rõ yêu cầu nghiệp vụ của khách hàng trong lĩnh vực ngân hàng
Lập trình, tùy chỉnh, triển khai các hệ thống BackEnd sử dụng Javascript/HTML/CSS và các tool sẵn có của Hệ thống.
Lập trình phần Addon sử dụng Framework Next.JS theo yêu cầu của nghiệp vụ
Tích hợp với các hệ thống backend khác thông qua API đã được tài liệu hóa.
Đọc hiểu tài liệu URD/BRD/SRS…,
Phối hợp với PM, PO, DEV team để đảm bảo tiến độ và chất lượng dự án."
Thực Tập Sinh Phát Triển Website Giỏi SEO,Fullstack Developer,,Hồ Chí Minh,HeLiCorp,onsite,,,,3/9/2026,7/4/2026,"A.SEO & Content Strategy (60%)
- Nghiên cứu từ khóa ngành tại thị trường Việt Nam
- Xây dựng content cluster và pillar page cho website công ty
- Viết và tối ưu bài blog chuẩn SEO (heading structure, internal linking, image alt, schema markup)
- Tối ưu on-page toàn site: title tag, meta description, URL structure, breadcrumb
- Theo dõi thứ hạng từ khóa, phân tích traffic qua Google Search Console và GA4, báo cáo hàng tuần
B. Phát triển & Quản trị Website (25%)
- Xây dựng, chỉnh sửa trang trên WordPress (Bricks theme hoặc tương đương)
- Triển khai landing page chiến dịch, trang sản phẩm mới theo yêu cầu Marketing
- Tối ưu Core Web Vitals, tốc độ tải trang, responsive mobile
- Tích hợp tracking: GA4, Meta Pixel, quản lý bán hàng
C. Hỗ trợ đa kênh (15%)
- Phối hợp chuẩn bị nội dung cho Shopee, Lazada, TikTok Shop
- Cập nhật hình ảnh, banner, video lên website"
. NET Developer _Từ 3 Năm Kinh Nghiệm,Fullstack Developer,3,Hà Nội,Công ty Cổ phần Hệ thống Công nghệ ETC,onsite,35000000,35000000,VND,3/9/2026,6/4/2026,"Tham gia phát triển và bảo trì các hệ thống web sử dụng .NET Core và Angular.
Làm việc theo mô hình Agile Scrum, tham gia đầy đủ các giai đoạn của vòng đời phát triển phần mềm: phân tích, thiết kế, lập trình, kiểm thử và triển khai.
Phát triển các sản phẩm, hệ thống thực tế phục vụ cho xã hội, mang lại giá trị thiết thực cho người dùng.
Tối ưu hiệu năng hệ thống, xử lý các bài toán về hiệu suất và khối lượng dữ liệu lớn.
Viết và tối ưu Store Procedure, truy vấn SQL nhằm đảm bảo hiệu năng cơ sở dữ liệu.
Làm việc với các hệ thống message broker như RabbitMQ, Kafka để xử lý luồng dữ liệu và giao tiếp giữa các dịch vụ.
Triển khai, vận hành và kiểm thử ứng dụng trong môi trường Docker.
Phối hợp chặt chẽ với các thành viên trong nhóm (BA, Tester, Designer, PM,...) để đảm bảo tiến độ và chất lượng sản phẩm.
Đề xuất các giải pháp kỹ thuật, tham gia cải tiến quy trình phát triển phần mềm."
Android Developer,"Mobile Developer, IT - Phần mềm",3,Hà Nội,Công Ty TNHH LG CNS VIỆT NAM,onsite,,,,3/9/2026,8/4/2026,"Develop, maintain, and enhance Android applications using Kotlin/Java.
Integrate industrial PDA barcode scanner SDKs (Zebra, Honeywell, etc.).
Implement features that communicate with backend systems through RESTful APIs.
Perform ADB-based debugging, log analysis, and troubleshooting on physical devices.
Design, implement, and manage local data storage using Room or SQLite.
Optimize application performance for industrial devices and ensure stability in real-world operating conditions.
Collaborate with cross-functional teams to define requirements and improve product quality."
Nhân Viên Software Developer - Backend (Dev) - Làm Việc Tại Hà Nội,Backend Developer,3,Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,onsite,,,,3/9/2026,9/4/2026,"• Thiết kế, phát triển và duy trì các dịch vụ phụ trợ bằng Laravel và ecosystem của Laravel .
• Tối ưu hóa truy vấn cơ sở dữ liệu để đảm bảo hiệu suất và khả năng mở rộng của hệ thống.
• Triển khai và duy trì API RESTful cho giao diện người dùng và tích hợp của bên thứ ba.
• Đảm bảo các biện pháp bảo mật tốt nhất được tuân thủ trong hoạt động API và cơ sở dữ liệu.
Ngoài ra
• Làm việc chặt chẽ với nhóm nghiệp vụ để chuyển đổi các yêu cầu thành các giải pháp kỹ thuật.
• Viết code sạch, hiệu quả và dễ bảo trì theo các chuẩn ISO đưa ra.
• Thực hiện đánh giá mã và đóng góp vào việc cải thiện quy trình phát triển.
• Cập nhật những xu hướng mới nhất về Laravel và các công nghệ
liên quan"
Junior Dev Fullstack Java Kiêm ReactJS - Thu Nhập Upto 18 Triệu Tại Hà Nội,"Fullstack Developer, IT - Phần mềm",1,Hà Nội,CÔNG TY TNHH KOBIZO VIỆT NAM,onsite,15000000,18000000,VND,3/12/2026,11/4/2026,"Kobizo Vietnam đang tìm kiếm Lập trình viên Fullstack cấp Junior tham gia dự án outsourcing dài hạn trong lĩnh vực Hành chính công, làm việc onsite tại văn phòng khách hàng ở Hà Nội.
- Phát triển và duy trì ứng dụng web sử dụng Java Spring Boot (backend) và ReactJS (frontend)
- Thiết kế và tích hợp RESTful API, đảm bảo hiệu suất và bảo mật hệ thống
- Phối hợp với BA và QA trong suốt quá trình phát triển tính năng
- Tham gia daily standup, sprint planning và retrospective theo quy trình Agile
- Viết code sạch, dễ bảo trì, thực hiện code review và đóng góp vào tài liệu kỹ thuật
- Phát hiện, debug và tối ưu hiệu năng ứng dụng theo từng sprint
Thông tin dự án:
- Domain:
Hành chính công (cơ quan nhà nước)
- Thời hạn hợp đồng:
6 tháng, gia hạn theo chu kỳ 3 tháng
- Phỏng vấn:
1 vòng offline tại Hai Bà Trưng, Hà Nội"
Kỹ Sư Phát Triển Phần Mềm ( Android Và Set-Top Box),"Mobile Developer, IT - Phần mềm",1,Hà Nội,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,onsite,,,,3/9/2026,8/4/2026,"Vị trí này dành cho các ứng viên có kinh nghiệm hạn chế, nhằm hỗ trợ phát triển và kiểm thử phần mềm cho các thiết bị Android, đặc biệt là set-top box (STB). Ứng viên sẽ làm việc dưới sự hướng dẫn, tập trung vào việc xây dựng ứng dụng cơ bản và đảm bảo chất lượng. Các nhiệm vụ chính bao gồm:
- Hỗ trợ thiết kế, phát triển và bảo trì ứng dụng Android trên toàn bộ stack, từ giao diện người dùng đến tích hợp Android Framework và Hardware Abstraction Layer (HAL) cho phần cứng STB.
- Triển khai ứng dụng Android cơ bản trên các thiết bị như điện thoại di động, máy tính bảng và set
-top box, đảm bảo hiệu suất mượt mà và tối ưu hóa cho phát lại nội dung.
- Học cách tích hợp các dịch vụ Google Services (ví dụ: Google Cloud, Firebase) để hỗ trợ chức năng ứng dụng.
- Tham gia triển khai nền tảng IoT, bao gồm tích hợp camera và các thiết bị kết nối.
- Hỗ trợ đánh giá và kiểm tra phần cứng thiết bị, xác định tính tương thích, kiểm thử hiệu suất và khắc phục lỗi cơ bản.
- Thực hiện kiểm thử ứng dụng, viết báo cáo lỗi và hợp tác với đội ngũ để đảm bảo chất lượng sản phẩm.
- Đóng góp vào tài liệu dự án, tuân thủ tiêu chuẩn mã hóa và học hỏi các công nghệ mới."
Backend Engineer,"Backend Developer, IT - Phần mềm",3,Hà Nội,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,onsite,,,,3/12/2026,12/4/2026,"Phát triển Backend (PHP / Spring Boot Kotlin)
• Xây dựng và phát triển API cho web/app (Laravel, Lumen, Spring Boot Kotlin).
• Thiết kế cấu trúc database MySQL/NoSQL và tối ưu truy vấn.
• Tích hợp API từ bên thứ ba như: Payment, Firebase, AI services, OAuth…
• Tối ưu performance, caching (Redis/Memcached), xử lý queue, background jobs.
• Viết tài liệu API, phối hợp với team front-end (Web/Nuxt/Android/iOS).
Triển khai & Quản trị Server (linux)
• Triển khai ứng dụng lên server Ubuntu, Centos (Nginx/Apache, PM2, Supervisor…).
• Cấu hình domain, SSL (Let’s Encrypt/Cloudflare), Cài đặt và cấu hình các dịch vụ.
• Theo dõi và xử lý các vấn đề về server: CPU load, memory, network, log."
